Temperature (K),Luminosity(L/Lo),Radius(R/Ro)
3068,0.0024,0.17
3042,0.0005,0.1542
2600,0.0003,0.102
2800,0.0002,0.16
1939,0.000138,0.103
2840,0.00065,0.11
2637,0.00073,0.127
2600,0.0004,0.096
2650,0.00069,0.11
2700,0.00018,0.13
3600,0.0029,0.51
3129,0.0122,0.3761
3134,0.0004,0.196
3628,0.0055,0.393
2650,0.0006,0.14
3340,0.0038,0.24
2799,0.0018,0.16
3692,0.00367,0.47
3192,0.00362,0.1967
3441,0.039,0.351
25000,0.056,0.0084
7740,0.00049,0.01234
7220,0.00017,0.011
8500,0.0005,0.01
16500,0.013,0.014
12990,0.000085,0.00984
8570,0.00081,0.0097
7700,0.00011,0.0128
11790,0.00015,0.011
7230,0.00008,0.013
39000,204000,10.6
30000,28840,6.3
15276,1136,7.2
3607,0.022,0.38
3304,0.0085,0.18
3150,0.0088,0.35
3550,0.004,0.291
3180,0.001,0.35
2890,0.0034,0.24
3342,0.0015,0.307
2621,0.0006,0.098
3158,0.00135,0.161
7100,0.00029,0.012
10574,0.00014,0.0092
8930,0.00056,0.0095
17200,0.00098,0.015
14100,0.00067,0.0089
9675,0.00045,0.0109
12010,0.00078,0.0092
10980,0.00074,0.0087
13720,0.00018,0.00892
19860,0.0011,0.0131
5300,0.59,0.91
4526,0.153,0.865
4077,0.085,0.795
4980,0.357,1.13
9030,45,2.63
11250,672,6.98
5112,0.63,0.876
7720,7.92,1.34
12098,689,7.01
36108,198000,10.2
33300,240000,12
40000,813000,14
23000,127000,36
17120,235000,83
11096,112000,12
14245,231000,42
24630,363000,63
12893,184000,36
24345,142000,57
33421,352000,67
3459,100000,1289
3605,126000,1124
3615,200000,1635
3399,117000,1486
3610,132000,1522
3553,145000,1324
4015,282000,1534
3625,74000,876
6850,229000,1467
3780,200000,1324
3323,0.00043,0.0912
3531,0.00093,0.0976
3218,0.00054,0.11
3146,0.00015,0.0932
3511,0.00064,0.109
3225,0.00076,0.121
2935,0.00087,0.0932
2861,0.00019,0.0899
2856,0.000896,0.0782
2731,0.000437,0.0856
3095,0.00019,0.492
3607,0.00023,0.38
3100,0.008,0.31
2989,0.0087,0.34
3542,0.0009,0.62
3243,0.0023,0.73
3091,0.0081,0.24
3598,0.0011,0.56
3324,0.0034,0.34
3541,0.0013,0.256
13420,0.00059,0.00981
21020,0.0015,0.0112
18290,0.0013,0.00934
14520,0.00082,0.00972
11900,0.00067,0.00898
8924,0.00028,0.00879
12912,0.00071,0.00945
14732,0.00011,0.00892
7723,0.00014,0.00878
12984,0.00088,0.00996
29560,188000,6.02
8945,38,2.487
14060,1092,5.745
16390,1278,5.68
25070,14500,5.92
28700,16790,6.4
26140,14520,5.49
20120,4720,6.78
13023,998,6.21
37800,202900,6.86
25390,223000,57
11567,251000,36
12675,452000,83
5752,245000,97
8927,239000,35
7282,131000,24
19923,152000,73
26373,198000,39
17383,342900,30
9373,424520,24
3570,320000,1480
3500,138000,1420
4287,630000,1315
26000,316000,1679
3600,240000,1190
3614,145000,1553
18000,200000,1045
11000,170000,1779
12100,120000,708.9
24490,248490,1134.5
2831,0.000231,0.0915
2914,0.000631,0.116
3419,0.000245,0.126
3218,0.000452,0.0987
3453,0.000621,0.0773
2889,0.000352,0.0973
2968,0.000461,0.119
3484,0.000551,0.0998
2778,0.000849,0.112
3523,0.000957,0.129
3462,0.0053,0.148
3257,0.0024,0.46
2994,0.0072,0.28
3212,0.0016,0.378
3523,0.0054,0.319
3598,0.0027,0.67
3142,0.00132,0.258
3496,0.00125,0.336
3324,0.0065,0.471
3463,0.0027,0.675
16790,0.0014,0.0121
15680,0.00122,0.0114
14982,0.00118,0.0113
13340,0.00109,0.0116
18340,0.00134,0.0124
19920,0.00156,0.0142
24020,0.00159,0.0127
23092,0.00132,0.0104
17920,0.00111,0.0106
19360,0.00125,0.00998
22350,12450,6.36
10012,552,5.856
13089,788,5.992
22012,6748,6.64
34190,198200,6.39
32460,173800,6.237
9320,29,1.91
19400,10920,6.03
